indicator,image
over time,0
over time,1
over time,2
over time,3
over time,4
attentive,5
over time,6
over time,7
attentive,8
over time,9
over time,10
attentive,11
over time,12
over time,13
over time,14
over time,15
attentive,16
over time,17
over time,18
attentive,19
over time,20
attentive,21
over time,22
attentive,23
over time,24
attentive,25
over time,26
over time,27
attentive,28
attentive,29
over time,30
attentive,31
attentive,32
over time,33
attentive,34
over time,35
attentive,36
over time,37
attentive,38
over time,39
attentive,40
attentive,41
attentive,42
attentive,43
over time,44
over time,45
attentive,46
over time,47
over time,48
over time,49
over time,50
over time,51
over time,52
attentive,53
attentive,54
attentive,55
over time,56
attentive,57
attentive,58
attentive,59
attentive,60
over time,61
over time,62
over time,63
attentive,64
attentive,65
over time,66
over time,67
attentive,68
attentive,69
over time,70
over time,71
attentive,72
attentive,73
over time,74
over time,75
attentive,76
attentive,77
attentive,78
attentive,79
over time,80
over time,81
over time,82
over time,83
attentive,84
attentive,86
attentive,87
over time,89
over time,90
over time,91
over time,92
over time,93
attentive,94
over time,95
attentive,96
attentive,97
over time,98
over time,99
attentive,100
over time,101
attentive,102
over time,104
over time,105
attentive,106
over time,107
over time,108
attentive,109
attentive,110
over time,112
over time,113
over time,114
over time,115
attentive,116
attentive,117
over time,118
over time,119
over time,120
attentive,121
over time,122
error-no over time,123
attentive,124
attentive,125
over time,126
over time,127
over time,128
attentive,129
over time,130
over time,131
attentive,132
attentive,133
attentive,134
attentive,135
over time,136
over time,137
over time,138
attentive,139
attentive,140
attentive,142
over time,143
over time,145
over time,146
attentive,147
over time,148
over time,149
attentive,150
over time,151
over time,152
attentive,153
attentive,154
attentive,156
attentive,157
attentive,158
error-over time,159
over time,160
over time,161
attentive,162
attentive,163
over time,164
attentive,165
attentive,166
over time,167
over time,169
attentive,170
attentive,171
attentive,172
over time,173
attentive,174
over time,175
attentive,176
over time,177
over time,178
attentive,179
over time,180
over time,181
over time,182
attentive,183
error-over time,184
error-over time,185
attentive,186
attentive,187
over time,188
attentive,189
attentive,190
over time,191
over time,192
attentive,193
over time,194
over time,195
attentive,196
attentive,197
over time,198
over time,199
over time,200
over time,201
over time,202
over time,204
attentive,205
over time,206
attentive,209
over time,210
error-no over time,211
attentive,212
attentive,213
attentive,214
attentive,215
attentive,216
attentive,219
attentive,220
attentive,221
attentive,222
over time,223
attentive,224
attentive,225
attentive,226
attentive,227
over time,228
attentive,230
attentive,231
attentive,232
attentive,233
attentive,234
error-no over time,237
over time,238
attentive,239
attentive,241
attentive,242
attentive,243
attentive,244
attentive,245
over time,246
attentive,247
over time,248
over time,249
attentive,250
attentive,251
over time,252
attentive,253
attentive,254
attentive,255
attentive,256
attentive,257
error-no over time,258
over time,259
attentive,260
attentive,261
attentive,262
attentive,263
attentive,264
attentive,265
over time,266
attentive,267
over time,268
over time,269
attentive,270
over time,271
over time,272
attentive,273
attentive,274
attentive,275
over time,276
attentive,277
attentive,278
attentive,279
over time,280
attentive,282
attentive,283
attentive,284
attentive,285
over time,286
over time,287
over time,288
attentive,289
over time,290
over time,291
attentive,292
over time,293
over time,294
over time,295
over time,296
over time,297
attentive,298
attentive,299
over time,300
over time,301
attentive,302
attentive,303
attentive,304
attentive,305
over time,306
over time,307
attentive,308
over time,309
attentive,310
over time,311
attentive,312
attentive,313
attentive,314
error-no over time,315
over time,316
attentive,317
attentive,318
attentive,319
attentive,320
over time,321
attentive,322
attentive,323
over time,324
attentive,325
attentive,326
over time,327
attentive,328
attentive,329
attentive,330
over time,427
over time,428
attentive,429
attentive,430
attentive,432
attentive,433
attentive,434
over time,435
attentive,436
attentive,438
over time,439
attentive,440
over time,441
over time,442
over time,443
attentive,444
attentive,446
attentive,447
attentive,448
over time,449
attentive,450
attentive,451
error-no over time,452
attentive,453
over time,454
attentive,455
attentive,456
attentive,457
over time,458
attentive,459
over time,460
attentive,461
over time,462
attentive,463
attentive,464
attentive,465
over time,466
over time,467
attentive,468
attentive,469
over time,470
attentive,471
over time,473
over time,474
error-no over time,475
over time,483
attentive,484
attentive,485
attentive,486
over time,487
attentive,489
over time,490
attentive,491
attentive,492
attentive,493
attentive,494
attentive,495
attentive,496
attentive,497
attentive,498
attentive,499
over time,500
attentive,501
