indicator,image
attentive,0
attentive,1
attentive,3
attentive,4
attentive,5
over time,6
attentive,7
attentive,8
attentive,9
attentive,10
attentive,11
attentive,12
attentive,13
attentive,14
error-no over time,15
attentive,16
attentive,17
attentive,18
attentive,20
attentive,21
attentive,22
attentive,23
attentive,24
attentive,25
attentive,26
attentive,27
attentive,28
attentive,29
attentive,30
attentive,32
attentive,33
attentive,34
attentive,35
attentive,36
attentive,37
attentive,38
attentive,39
attentive,40
attentive,41
attentive,43
attentive,44
over time,45
attentive,46
attentive,47
attentive,48
attentive,49
attentive,51
over time,52
over time,53
attentive,54
over time,55
over time,56
over time,57
attentive,58
over time,59
over time,60
error-no over time,61
over time,62
over time,63
attentive,64
attentive,65
over time,66
attentive,67
attentive,68
attentive,69
attentive,70
error-over time,71
attentive,72
attentive,73
attentive,74
attentive,75
over time,76
attentive,77
attentive,78
attentive,79
attentive,80
attentive,81
attentive,82
attentive,83
attentive,84
attentive,85
error-no over time,86
attentive,87
over time,88
attentive,89
attentive,90
attentive,91
error-over time,92
attentive,93
error-no over time,94
attentive,95
attentive,96
over time,97
attentive,98
attentive,99
attentive,100
attentive,101
attentive,102
attentive,103
attentive,104
attentive,105
attentive,106
attentive,107
attentive,108
attentive,109
attentive,110
attentive,111
attentive,112
attentive,113
attentive,114
attentive,115
attentive,116
attentive,117
attentive,118
attentive,119
over time,120
attentive,121
attentive,122
attentive,123
attentive,124
attentive,125
attentive,126
error-no over time,127
attentive,128
attentive,130
attentive,131
attentive,132
over time,133
attentive,134
over time,135
over time,136
attentive,137
attentive,138
attentive,139
attentive,140
over time,141
attentive,142
attentive,143
attentive,144
over time,145
attentive,146
attentive,147
attentive,148
attentive,149
attentive,150
over time,151
error-over time,152
over time,153
error-no over time,155
over time,156
attentive,157
attentive,158
over time,159
attentive,160
attentive,161
attentive,162
attentive,163
attentive,164
over time,165
over time,166
attentive,167
attentive,168
over time,169
attentive,170
attentive,171
attentive,172
attentive,173
attentive,175
attentive,176
attentive,177
attentive,178
attentive,179
attentive,180
over time,181
attentive,182
attentive,183
attentive,184
attentive,185
attentive,187
attentive,188
attentive,189
attentive,190
attentive,191
attentive,192
attentive,193
attentive,194
attentive,195
over time,196
attentive,197
attentive,198
over time,199
attentive,200
attentive,201
attentive,202
attentive,203
attentive,204
over time,205
attentive,206
attentive,207
attentive,208
attentive,209
attentive,210
attentive,211
attentive,212
attentive,213
over time,214
over time,215
attentive,216
attentive,217
attentive,218
attentive,219
attentive,220
over time,221
attentive,222
attentive,223
attentive,224
attentive,225
attentive,226
attentive,227
over time,228
attentive,229
over time,230
attentive,231
attentive,232
attentive,233
attentive,234
over time,236
attentive,238
attentive,239
attentive,240
over time,241
attentive,242
attentive,243
attentive,244
attentive,245
attentive,246
attentive,247
attentive,249
attentive,250
attentive,251
attentive,252
attentive,253
attentive,254
over time,255
over time,256
over time,257
attentive,258
attentive,259
attentive,260
attentive,261
attentive,262
over time,263
attentive,264
attentive,265
attentive,266
over time,267
attentive,268
attentive,270
over time,271
attentive,272
over time,273
attentive,274
over time,275
over time,276
attentive,277
attentive,278
attentive,279
attentive,280
over time,281
attentive,282
over time,283
over time,284
over time,285
attentive,286
attentive,287
attentive,289
over time,290
attentive,291
attentive,292
attentive,293
attentive,294
attentive,295
attentive,296
attentive,297
attentive,298
attentive,299
attentive,300
attentive,301
attentive,302
attentive,303
attentive,304
over time,305
attentive,306
attentive,307
attentive,308
over time,309
attentive,310
attentive,311
attentive,312
attentive,313
attentive,314
attentive,315
attentive,316
attentive,317
attentive,318
over time,319
attentive,320
attentive,321
attentive,322
attentive,323
over time,324
attentive,325
attentive,326
attentive,327
attentive,328
attentive,330
attentive,331
attentive,332
attentive,333
attentive,335
over time,336
attentive,337
attentive,338
over time,339
attentive,340
attentive,341
attentive,342
over time,343
attentive,344
over time,345
attentive,346
attentive,347
attentive,348
attentive,349
attentive,350
over time,351
over time,352
over time,353
attentive,354
attentive,355
attentive,356
attentive,357
over time,358
attentive,359
attentive,360
attentive,361
attentive,362
over time,363
attentive,364
attentive,365
attentive,366
over time,367
attentive,368
attentive,369
attentive,370
attentive,371
attentive,372
over time,373
attentive,374
attentive,375
attentive,377
over time,378
over time,379
attentive,380
attentive,381
attentive,382
attentive,383
attentive,384
attentive,385
over time,386
over time,387
attentive,388
attentive,389
over time,390
attentive,391
attentive,392
attentive,393
attentive,395
attentive,396
attentive,397
attentive,398
attentive,399
attentive,400
attentive,401
attentive,402
attentive,403
attentive,404
attentive,406
attentive,407
attentive,408
attentive,409
over time,410
attentive,411
attentive,412
over time,413
over time,414
attentive,415
attentive,416
attentive,417
over time,418
attentive,419
attentive,420
over time,421
over time,422
attentive,423
attentive,424
attentive,425
attentive,426
attentive,427
attentive,428
attentive,429
over time,430
over time,431
attentive,432
attentive,433
over time,434
attentive,435
over time,436
over time,437
attentive,438
over time,439
attentive,440
over time,441
attentive,442
attentive,443
over time,444
attentive,445
attentive,446
attentive,447
attentive,448
attentive,449
over time,450
error-no over time,451
attentive,452
over time,453
over time,454
attentive,455
over time,456
attentive,457
attentive,458
attentive,459
attentive,460
over time,461
over time,462
attentive,463
attentive,464
attentive,465
attentive,466
attentive,467
attentive,468
attentive,469
over time,470
over time,471
over time,472
over time,473
attentive,474
attentive,475
attentive,476
attentive,477
attentive,478
attentive,479
attentive,480
attentive,481
attentive,482
