indicator,image
attentive,0
error-no over time,2
error-no over time,3
over time,4
attentive,5
over time,6
over time,7
attentive,8
attentive,9
over time,11
attentive,12
error-over time,13
attentive,14
over time,15
attentive,16
over time,17
over time,18
over time,19
attentive,20
attentive,21
attentive,22
attentive,23
attentive,24
attentive,25
attentive,26
attentive,27
attentive,28
over time,29
attentive,30
attentive,31
attentive,32
attentive,33
attentive,34
attentive,35
attentive,36
error-no over time,37
error-no over time,38
error-no over time,39
over time,40
attentive,41
attentive,42
attentive,43
error-no over time,44
attentive,45
over time,46
attentive,47
attentive,48
attentive,49
attentive,50
attentive,51
attentive,52
attentive,53
error-over time,54
attentive,55
attentive,56
error-no over time,57
over time,59
over time,60
attentive,61
attentive,62
attentive,63
attentive,64
attentive,65
error-over time,66
attentive,67
attentive,68
attentive,69
over time,70
attentive,72
attentive,73
attentive,74
attentive,75
error-over time,76
attentive,77
attentive,78
attentive,79
attentive,80
attentive,81
attentive,82
over time,84
attentive,85
attentive,86
attentive,87
attentive,88
attentive,89
attentive,90
attentive,91
attentive,92
attentive,93
error-no over time,94
attentive,95
attentive,96
attentive,97
over time,98
attentive,99
attentive,100
attentive,101
attentive,102
attentive,103
attentive,104
attentive,105
attentive,106
attentive,107
attentive,108
attentive,109
error-no over time,110
over time,111
attentive,112
attentive,113
over time,114
attentive,115
attentive,116
attentive,117
attentive,118
attentive,120
attentive,121
attentive,122
attentive,123
over time,124
attentive,125
over time,126
attentive,127
attentive,128
over time,129
over time,130
attentive,131
attentive,132
attentive,133
attentive,134
attentive,135
attentive,137
attentive,138
attentive,139
attentive,140
attentive,141
attentive,142
error-no over time,143
attentive,144
attentive,145
attentive,146
over time,147
error-no over time,148
error-no over time,149
attentive,150
error-no over time,151
over time,152
error-no over time,153
attentive,154
attentive,155
error-no over time,156
attentive,157
attentive,158
over time,159
error-no over time,160
attentive,161
over time,162
over time,163
attentive,164
over time,165
attentive,166
attentive,167
attentive,168
over time,169
attentive,170
attentive,172
over time,173
over time,174
over time,175
attentive,176
attentive,177
attentive,178
over time,179
attentive,180
attentive,181
error-no over time,182
error-no over time,183
attentive,184
attentive,185
attentive,187
attentive,188
over time,189
attentive,190
attentive,191
attentive,192
attentive,193
attentive,194
error-over time,195
attentive,196
attentive,197
attentive,198
attentive,199
attentive,200
attentive,201
attentive,202
attentive,203
attentive,204
attentive,205
error-over time,206
attentive,207
attentive,209
over time,210
attentive,212
error-no over time,213
attentive,214
attentive,215
over time,216
over time,217
attentive,218
attentive,219
error-no over time,220
attentive,221
over time,222
error-over time,223
attentive,224
attentive,225
attentive,226
attentive,227
attentive,228
attentive,229
attentive,230
attentive,231
attentive,232
attentive,233
attentive,234
error-no over time,235
over time,236
attentive,237
attentive,238
over time,239
attentive,240
attentive,241
over time,242
attentive,243
over time,244
over time,245
over time,246
error-over time,247
attentive,248
attentive,249
attentive,250
attentive,251
attentive,252
attentive,253
attentive,254
attentive,255
attentive,256
attentive,257
error-over time,258
attentive,259
attentive,260
attentive,261
attentive,262
attentive,263
error-over time,264
attentive,265
over time,266
attentive,267
attentive,268
attentive,269
over time,270
over time,271
over time,272
error-over time,274
attentive,275
attentive,276
attentive,277
attentive,278
over time,279
attentive,280
attentive,282
attentive,283
attentive,284
attentive,285
attentive,286
attentive,287
attentive,288
attentive,290
attentive,291
over time,292
over time,293
attentive,294
attentive,295
attentive,296
over time,297
over time,298
attentive,299
attentive,300
attentive,301
attentive,302
attentive,303
attentive,304
over time,305
over time,306
attentive,307
attentive,308
over time,309
attentive,310
attentive,311
attentive,312
attentive,314
error-no over time,315
error-no over time,316
attentive,317
over time,318
attentive,319
attentive,320
attentive,321
attentive,323
attentive,324
attentive,325
attentive,326
attentive,327
attentive,328
attentive,329
attentive,330
attentive,331
error-no over time,332
attentive,333
attentive,334
attentive,335
attentive,336
attentive,337
attentive,338
error-over time,339
attentive,340
attentive,341
attentive,342
attentive,343
over time,344
attentive,345
error-no over time,346
over time,347
attentive,348
attentive,349
over time,350
error-no over time,351
attentive,352
attentive,353
over time,355
over time,356
error-over time,357
attentive,358
over time,359
over time,360
attentive,361
attentive,362
attentive,363
over time,364
over time,365
attentive,366
over time,367
attentive,368
attentive,369
attentive,370
attentive,371
attentive,372
attentive,373
attentive,374
error-no over time,375
attentive,376
attentive,377
over time,378
attentive,379
attentive,381
attentive,382
attentive,383
attentive,384
attentive,385
attentive,386
attentive,387
attentive,388
over time,389
attentive,390
attentive,391
attentive,392
attentive,393
attentive,394
attentive,395
over time,396
attentive,397
attentive,398
attentive,399
over time,400
over time,401
over time,402
over time,403
attentive,404
attentive,405
attentive,406
attentive,407
attentive,408
attentive,409
attentive,410
attentive,411
error-no over time,412
attentive,413
attentive,415
attentive,417
over time,418
attentive,420
attentive,421
attentive,422
attentive,423
error-no over time,424
over time,425
over time,426
error-over time,427
over time,428
error-over time,429
over time,430
attentive,431
attentive,432
attentive,433
attentive,434
attentive,435
attentive,436
attentive,437
attentive,438
attentive,439
attentive,440
over time,442
attentive,444
attentive,445
attentive,446
error-no over time,447
attentive,448
attentive,449
attentive,450
attentive,451
attentive,452
attentive,453
attentive,454
attentive,455
attentive,456
attentive,457
error-no over time,458
attentive,459
attentive,460
attentive,461
attentive,462
attentive,463
attentive,464
attentive,465
error-no over time,466
attentive,468
error-no over time,469
attentive,470
attentive,471
over time,472
attentive,473
attentive,474
attentive,475
attentive,476
attentive,477
attentive,478
attentive,479
attentive,480
attentive,481
attentive,482
over time,484
attentive,485
attentive,486
attentive,487
attentive,488
attentive,490
attentive,491
attentive,492
attentive,493
attentive,494
attentive,495
attentive,496
over time,498
attentive,499
attentive,500
attentive,501
attentive,502
