0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,classes
0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,2.9738379607401155,1.5908179865044714,0.6807706445858195,0.6316902195678524,0.8507002070050764,1.4628668095907034,0.9722277099285975,0.34930542004643766,0.4109969669325106,0.3342148203793627,0.11389248912146677,0.19995952577046938,76.35046714722435,37.05787184120196,34.47296793806719,17.943815903885756,52.5247923773453,49.14633614602578,42.51981121826214,21.70019193517428,76.5877819770372,113.47053522768049,60.43847941457535,0.5,1.25,2.125,2.75,3.5,0.5,1.375,2.75,3.375,4.25,0.625,1.5,2.125,3.125,4.0,0.5,1.5,3.625,5.25,6.0,0.75,3.75,5.25,6.375,7.375,0.875,2.125,3.0,3.75,4.625,attentive
0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,1.6907771562623248,0.2508399800923447,0.3278984164750286,0.37130176415304805,0.23336016354803396,0.6042805451533062,0.2477752950798189,0.3936591272672139,0.16042185550147678,0.18273720758724132,0.11356824438237162,0.17574284881153276,44.57053489997245,70.16487567776188,35.395412921510946,40.338932579764716,17.857673669889987,29.011946853233432,49.26750224747349,23.66351674397986,70.9301288994181,38.353721861435204,30.75531940313859,0.625,1.75,2.5,3.875,5.0,0.625,1.75,3.0,4.25,5.5,1.0,2.125,3.625,4.625,5.5,0.625,1.625,2.75,3.5,4.5,0.875,2.0,2.625,3.5,4.375,0.5,1.625,2.875,4.25,5.375,attentive
0.25,0.375,0.5,0.625,1.375,0.75,1.25,1.5,1.125,0.25,0.375,0.5,0.625,0.75,1.375,1.25,1.5,1.125,0.25,0.375,0.5,0.625,0.75,1.375,1.25,1.5,1.125,0.25,0.375,0.5,0.625,1.375,0.75,1.25,1.5,1.125,0.397185568436262,0.2897107774460434,0.2216677982726036,0.14214506620587355,0.19003696093586855,0.23453739301348328,0.3838884305902529,0.2880428186064153,0.1834042385125213,0.11354087439221368,0.07845607882548236,0.28161364107297515,15.301958837924227,44.18122300747719,8.311114683712706,10.827599003049539,80.8667060085873,43.59558713911887,10.719455987700751,13.937037843212938,50.744694881477045,22.496562282821024,6.649183253219195,0.625,1.75,3.375,5.125,6.375,0.625,2.25,3.75,5.125,6.375,0.75,1.875,3.0,4.625,6.0,0.625,2.125,3.5,5.75,8.375,0.375,1.875,4.125,5.375,6.5,1.0,2.25,3.625,5.625,7.5,attentive
0.25,0.375,0.5,0.625,0.75,0.875,1.75,1.625,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.75,1.625,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.75,1.625,1.875,0.25,0.375,0.5,0.625,0.75,0.875,1.75,1.625,1.875,0.3525313654739032,0.15734474682502853,0.12427867864148559,0.10255273117078754,0.09006249219018009,0.10748103103449543,0.2849503974044811,0.22596798118106515,0.11068282138746609,0.08347671781166237,0.12265842438973813,0.08333559041299668,42.20875648268371,34.21461733806171,18.312444949701753,18.37710689835125,46.68856048287624,56.87476952351543,24.331087302305974,4.10213297881806,53.810739165251015,23.65682593348853,20.529662067335607,1.5,3.5,5.625,6.875,8.875,1.0,2.375,3.875,5.25,6.375,0.75,2.125,4.5,5.75,7.875,0.75,2.25,3.625,5.0,6.25,0.875,2.25,3.75,5.25,7.375,0.875,2.125,3.875,6.625,8.625,attentive
0.25,0.375,0.5,0.625,1.25,1.125,1.375,1.0,0.75,0.25,0.375,0.5,0.625,1.25,1.125,1.375,1.0,0.75,0.25,0.375,0.5,0.625,1.25,1.125,1.375,1.0,0.75,0.25,0.375,0.5,0.625,1.25,1.125,1.375,1.0,0.75,0.9636179277125536,0.3131616005512747,0.32007013719944233,0.3998728406664462,0.3870760695878446,0.39894574520484766,0.26570636678416387,0.1490171236223514,0.1769316174410741,0.2428556587858108,0.18013151474858655,0.06453746227866419,47.4734412019325,29.377922393900658,28.003017807136835,2.730625530153499,54.85544546218664,30.375872999569243,31.20602897267304,25.81184314991722,65.17593534959705,51.912121360157926,38.968740100034644,0.625,2.375,3.5,4.25,5.5,1.75,2.875,3.875,5.0,6.0,1.375,2.5,4.5,6.0,7.125,1.625,2.875,3.875,5.875,7.375,1.125,2.875,4.375,6.25,7.125,0.5,1.5,2.625,4.0,5.375,attentive
0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.875,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.875,1.9030769308871365,0.7114510815731646,0.8859139382485823,0.43539589205186474,0.15842641379912661,0.2160911786137518,0.17111807573012006,0.228944459782205,0.35592479508746194,0.10064013237045988,0.2658481658255243,0.07484340423672324,14.502311680457288,29.498898505402174,43.01563190072969,14.760033789559463,81.30024954382509,28.5938511714191,30.280699514642425,40.01557609010226,40.074940088850326,7.4216896356428,24.330391941920524,0.5,2.0,2.875,4.125,5.125,0.5,1.0,1.75,2.75,4.125,0.625,2.125,3.0,3.75,4.625,0.5,1.375,2.375,3.625,5.375,1.25,4.25,6.75,8.875,10.625,0.875,3.125,4.875,6.125,8.125,attentive
0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,0.625,1.125,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.6567415958675475,0.4193702784901443,0.31851421832189464,0.2942812024100159,0.21217967144871241,0.7844359478430867,0.6001769541356279,0.48450325401633404,0.2483163099370289,0.11825995882793139,0.324363633754713,0.3458580005075147,57.72476119823705,89.64880619369346,16.303099512417898,19.182306985654186,89.91434198593497,145.702403514492,104.6080443279681,115.66395762683487,10.50450661790524,52.176946454250434,23.66272166232807,1.0,2.625,3.875,4.875,5.5,0.75,1.875,2.75,3.75,4.375,0.5,1.875,3.625,5.875,7.625,0.875,1.75,2.75,3.625,4.5,0.5,1.375,2.25,3.0,5.0,0.625,1.875,3.0,3.875,6.0,distracted
0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.25,0.375,0.5,1.0,0.875,1.125,1.625,1.75,0.75,0.648161804508559,0.44091523481434886,0.4630571090457501,0.2546169542634139,0.4771990006437549,0.7614047807816213,0.43235595011554545,0.3909865634210114,0.15444964922371088,0.2344888701780709,0.23428570028566867,0.38916356828430804,74.51104036085458,84.76000567920083,22.202130452042237,47.60948073733414,68.88545107931739,52.15373335397782,65.9517424456045,41.667137172255636,70.04670561439794,33.136117835631445,19.65203121503257,0.75,2.25,3.5,4.375,5.125,0.5,1.375,2.625,4.25,5.125,0.875,2.125,3.0,4.25,5.0,0.75,1.5,2.625,4.875,5.875,0.75,1.75,2.5,4.125,5.75,0.875,2.75,4.25,5.0,5.625,attentive
0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.6865602192349064,0.4626063890664804,0.6565830284489534,0.7395405867398008,0.26955005731514864,0.408827488877728,0.12200192403846631,0.3543118915081068,0.2645153613863208,0.2246509863060551,0.29307790364464925,0.21506481488592297,45.7228391744227,65.84509964011978,51.582763458428914,43.71862341540894,143.58674290777418,140.87670293081942,115.25633136289565,42.93337738592202,47.041418487251626,51.88965973121348,17.489398182630378,0.75,1.625,2.625,3.75,4.75,0.75,1.75,2.625,3.5,4.375,0.875,1.625,2.875,3.375,4.625,0.5,1.625,2.5,3.5,4.375,0.625,1.375,2.375,3.5,4.5,0.5,1.5,2.5,3.875,5.0,attentive
0.25,0.375,0.5,0.625,1.25,1.125,1.375,1.0,2.125,0.25,0.375,0.5,0.625,1.25,1.125,1.375,1.0,0.75,0.25,0.375,0.5,0.625,1.25,1.125,1.375,1.0,0.75,0.25,0.375,0.5,0.625,1.25,1.125,1.375,1.0,2.125,3.3616892183727,0.48766647517124223,0.5282424923293766,0.49522224551295363,0.21546208516811152,0.718126065119586,0.18984273805741259,0.234851452468135,0.11403127312370195,0.12892014571731136,0.31043891307157984,0.18343079664146758,36.185556122293534,27.224741274702247,11.76848316346883,19.427425836564375,96.24859022501236,47.65216584685884,73.5194584158729,56.01581368154335,60.7383349428499,79.53047058919279,19.071479395993055,0.625,1.75,2.5,3.5,5.125,0.625,2.5,3.25,4.375,5.875,1.0,2.75,3.875,4.875,5.875,0.875,3.625,4.75,6.125,7.125,1.0,3.0,4.25,5.375,7.0,0.625,1.625,2.625,4.0,5.5,attentive
