0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,classes
0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.25,0.375,0.875,0.5,1.0,0.75,1.5,1.625,1.375,0.395011264243795,0.41400423214859094,0.2255998432195728,0.35411484989295294,0.32122938488365227,1.0902441483871652,0.6902471731822486,0.12544300224871144,0.1566005646010283,0.18002007980628934,0.38393655682787586,0.3041009613996651,46.88122049989881,12.84411960777621,11.582965472112207,23.641813012611532,90.60973689200753,33.79911837608401,68.65218039424457,45.144946363547376,25.730443072463988,41.50954022817989,23.586572526190313,0.875,1.875,2.5,3.25,4.5,0.375,1.125,1.875,2.5,3.125,1.0,1.875,2.75,3.875,5.5,0.5,1.625,2.375,2.875,3.625,0.5,1.625,2.375,3.0,4.75,0.375,1.625,2.625,4.5,5.5,attentive
0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,1.25,0.625,1.75,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.25,0.375,0.5,1.0,1.125,0.875,0.625,1.75,1.25,0.6850736292349131,0.37793762622670174,0.23728290618072972,0.326067331999672,0.20501573516400706,0.10722364378928925,0.3806896735119367,0.16934426872643574,0.13755041945289098,0.167351364837875,0.23062588770557949,0.14627346814776532,137.85355574042134,50.57809845192799,20.304736429462682,7.8211071447875185,135.22529839920827,53.874218730946346,30.555124078318645,30.780478011108464,98.02038936840314,28.51201787620705,48.551422556855414,0.5,1.5,2.5,3.375,4.25,0.625,1.875,3.375,4.5,5.375,1.25,3.875,5.5,7.125,8.125,0.5,1.5,2.625,3.875,5.375,0.625,1.5,2.625,5.0,6.125,0.5,1.375,3.25,4.125,5.0,attentive
0.25,0.375,0.5,1.0,1.125,0.625,0.875,1.25,1.75,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.25,0.375,0.5,1.0,1.125,0.625,0.875,1.25,1.75,1.3332894387658691,1.6895487592040843,1.2492534084156963,0.6932703219045206,1.0626188188444816,0.5951106622181735,0.8107070274749079,0.9017675152146482,0.7577148140006869,0.6164477406951104,0.8125785205764224,0.58575226989685,149.94012092004675,92.13657198460224,61.79191172597441,55.69382392037682,326.88785699868737,243.79341083689957,42.426094758544885,75.48265215567064,261.0829669500414,396.80767145830595,286.37681128713854,0.75,1.625,2.5,3.25,4.125,0.625,1.625,3.125,4.625,5.625,0.5,1.375,2.875,4.125,5.625,0.875,2.875,4.5,5.5,6.25,0.5,1.375,2.25,4.0,5.375,0.5,1.375,2.25,3.0,4.0,attentive
0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.875,2.0,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.875,2.0,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.875,2.0,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.875,2.0,2.1177761970480384,0.1977480906818142,0.14010406105068093,0.20774965394479494,0.311108678255234,0.7836155684157627,0.4378917207411805,0.3512787730405945,0.3008505481805366,0.2595333457276903,0.44820571383334007,0.48673215179173057,177.89423793275327,105.13870431710573,94.78665590635651,48.83559976762482,229.7382563917628,46.68340646922409,70.49459170649251,46.580905632212946,94.1699514747286,64.64695394547768,30.23117760180325,1.875,8.75,12.375,16.375,18.0,1.375,3.125,4.25,5.75,7.125,1.0,2.625,4.0,6.0,9.125,0.875,2.75,4.25,5.75,7.25,1.875,3.5,7.375,9.125,10.625,1.0,2.75,5.125,6.75,8.125,attentive
0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,0.25,0.375,0.5,0.625,0.75,1.375,1.5,1.25,1.625,1.1918681872411527,1.12783654448299,0.8593852879803512,0.18171900457389056,0.1872590637884148,1.2560429046276087,1.2288716292587831,0.7411847954764327,0.223207278882282,0.26293270568335836,0.4304073946904062,0.0834608152070434,105.16447752500068,48.090927562878036,27.77141371460797,28.715546490335512,146.1453904513213,154.75978991746487,128.65918108254905,36.096269876822184,87.0582790708522,35.550872182551736,30.10653752326277,0.625,1.875,3.875,5.375,6.25,0.75,1.5,2.75,3.875,4.75,1.0,2.25,4.5,5.875,7.125,0.75,1.875,3.0,4.875,5.875,0.625,2.0,3.25,4.125,6.0,0.375,1.5,2.875,4.0,5.625,attentive
0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.25,0.375,0.5,0.625,1.125,1.25,1.0,1.375,2.0,0.45506170674878377,0.18846168087888807,0.23778720186706387,0.12357160306547328,0.08719431216386216,0.5105558359320806,0.33332480711076634,0.3320394434308746,0.11065827590692733,0.1541278487129739,0.15217004869822642,0.17500938810651004,40.4608900548004,43.260156399289045,19.683936016936,20.407673265627977,38.563546470316275,33.151517240833805,56.48214236279328,6.275984118417771,85.14767700511229,86.34862996542017,72.2181833277916,1.25,3.625,4.75,5.625,6.375,0.75,2.0,3.0,4.0,4.75,0.75,2.0,3.125,5.0,6.125,0.625,1.625,3.0,4.25,4.75,0.625,1.75,2.875,4.25,5.375,1.0,2.0,2.875,3.875,4.75,attentive
0.25,0.375,0.5,1.125,1.0,0.625,1.25,0.875,1.875,0.25,0.375,0.5,1.125,1.0,0.625,1.25,0.875,1.875,0.25,0.375,0.5,1.125,1.0,0.625,1.25,0.875,1.875,0.25,0.375,0.5,1.125,1.0,0.625,1.25,0.875,1.875,0.8668960905638742,0.4376542795065319,0.2297397797497835,0.35155394862892414,0.22788935631455284,0.6152128091462874,0.30584283708556426,0.2806186258662044,0.14010550513576125,0.13234087992165577,0.3465159954858006,0.1647434514594815,65.31227980987926,52.113679950171836,14.161127145475845,30.900396873151337,83.57555106985899,85.12015885683411,39.34757436801361,33.59001738471535,96.01047760776453,67.51429992667387,50.83453237413896,0.75,2.0,3.125,4.875,6.0,0.875,3.625,4.625,5.625,6.375,0.625,1.875,3.75,5.75,7.0,0.75,2.125,3.5,4.75,5.75,0.75,1.75,2.625,4.125,5.0,1.0,2.0,3.625,4.5,5.25,attentive
0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,0.625,1.125,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,0.25,0.375,0.5,1.125,0.625,1.0,1.25,1.875,0.875,1.4511634044136215,0.39801835050863454,0.2567413979794101,0.2689429623792134,0.1739017437657257,0.5159545956769532,0.961412088625573,0.275362879725062,0.20103173552138118,0.24643287904755637,0.21726565566015404,0.16982781470980782,39.306261944081555,26.807814557123667,25.372364928903885,23.579455453494155,59.73720222499163,17.77622865830143,16.373924867577873,8.422623076497663,94.19925235620629,23.8828533936968,59.92440930275494,0.625,2.25,3.375,5.25,6.375,0.375,1.5,3.125,4.875,5.875,1.25,2.5,4.0,5.0,7.5,1.125,3.375,4.875,6.625,7.75,0.625,3.0,4.5,5.5,6.25,0.75,2.375,3.375,4.375,5.125,attentive
0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.125,2.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.125,2.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.125,2.125,0.25,0.375,0.5,0.625,0.75,0.875,1.0,1.125,2.125,0.37150392973959206,0.2971312627357541,0.17905927231490915,0.18099601647540933,0.10758379222135911,0.359528874963544,0.16567769365714613,0.14411178445986333,0.026793916063062393,0.02338798364217623,0.11829530219498655,0.10550549632157356,12.605237457075592,25.751279000321677,10.140815093409554,5.855115459550629,15.225396690379252,16.776181780551102,9.19208589596105,5.213827579121992,38.8430174312247,16.334225203923555,23.654032321389504,1.625,5.5,7.875,10.625,13.25,2.5,4.75,7.75,9.875,11.375,0.875,3.25,6.125,8.375,10.5,2.375,4.625,6.25,8.25,9.875,2.0,5.375,7.5,13.75,15.875,2.5,4.75,5.75,7.625,9.125,attentive
0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.25,0.375,0.5,1.0,1.125,0.625,1.25,0.875,1.75,0.3889299385395681,0.3227265415781415,0.33476232372421033,0.5149457514816055,0.2856854461169831,0.7136976710771687,0.7262541565477191,0.5378177336982849,0.23381274723109224,0.1978138595252567,0.4128978159943767,0.2078613822966633,100.94742765979746,80.00089951626363,48.975787505018126,37.567610151493746,60.39215190276154,32.89388601115471,19.18075997049177,20.691567198127828,101.40493105434179,81.21260089238937,43.34229464929707,0.5,2.375,3.75,5.125,7.25,0.625,1.75,3.25,4.25,5.125,1.375,2.25,3.125,4.0,5.0,0.5,1.375,3.0,4.25,6.0,1.125,2.875,3.875,6.375,7.875,0.5,1.5,2.75,3.875,4.875,attentive
