0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,classes
0.375,0.875,0.5,0.375,0.875,0.5,0.375,0.875,0.5,0.375,0.875,0.5,0.12544300224871144,0.1566005646010283,0.18002007980628934,23.641813012611532,45.144946363547376,23.586572526190313,0.875,1.875,2.5,3.25,4.5,0.375,1.125,1.875,2.5,3.125,1.0,1.875,2.75,3.875,5.5,0.5,1.625,2.375,2.875,3.625,0.5,1.625,2.375,3.0,4.75,0.375,1.625,2.625,4.5,5.5,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.16934426872643574,0.13755041945289098,0.167351364837875,7.8211071447875185,30.780478011108464,48.551422556855414,0.5,1.5,2.5,3.375,4.25,0.625,1.875,3.375,4.5,5.375,1.25,3.875,5.5,7.125,8.125,0.5,1.5,2.625,3.875,5.375,0.625,1.5,2.625,5.0,6.125,0.5,1.375,3.25,4.125,5.0,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.9017675152146482,0.7577148140006869,0.6164477406951104,55.69382392037682,75.48265215567064,286.37681128713854,0.75,1.625,2.5,3.25,4.125,0.625,1.625,3.125,4.625,5.625,0.5,1.375,2.875,4.125,5.625,0.875,2.875,4.5,5.5,6.25,0.5,1.375,2.25,4.0,5.375,0.5,1.375,2.25,3.0,4.0,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.3512787730405945,0.3008505481805366,0.2595333457276903,48.83559976762482,46.580905632212946,30.23117760180325,1.875,8.75,12.375,16.375,18.0,1.375,3.125,4.25,5.75,7.125,1.0,2.625,4.0,6.0,9.125,0.875,2.75,4.25,5.75,7.25,1.875,3.5,7.375,9.125,10.625,1.0,2.75,5.125,6.75,8.125,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.7411847954764327,0.223207278882282,0.26293270568335836,28.715546490335512,36.096269876822184,30.10653752326277,0.625,1.875,3.875,5.375,6.25,0.75,1.5,2.75,3.875,4.75,1.0,2.25,4.5,5.875,7.125,0.75,1.875,3.0,4.875,5.875,0.625,2.0,3.25,4.125,6.0,0.375,1.5,2.875,4.0,5.625,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.3320394434308746,0.11065827590692733,0.1541278487129739,20.407673265627977,6.275984118417771,72.2181833277916,1.25,3.625,4.75,5.625,6.375,0.75,2.0,3.0,4.0,4.75,0.75,2.0,3.125,5.0,6.125,0.625,1.625,3.0,4.25,4.75,0.625,1.75,2.875,4.25,5.375,1.0,2.0,2.875,3.875,4.75,attentive
0.375,0.5,1.125,0.375,0.5,1.125,0.375,0.5,1.125,0.375,0.5,1.125,0.2806186258662044,0.14010550513576125,0.13234087992165577,30.900396873151337,33.59001738471535,50.83453237413896,0.75,2.0,3.125,4.875,6.0,0.875,3.625,4.625,5.625,6.375,0.625,1.875,3.75,5.75,7.0,0.75,2.125,3.5,4.75,5.75,0.75,1.75,2.625,4.125,5.0,1.0,2.0,3.625,4.5,5.25,attentive
0.375,0.5,1.125,0.375,0.5,0.625,0.375,0.5,1.125,0.375,0.5,1.125,0.275362879725062,0.20103173552138118,0.24643287904755637,23.579455453494155,8.422623076497663,59.92440930275494,0.625,2.25,3.375,5.25,6.375,0.375,1.5,3.125,4.875,5.875,1.25,2.5,4.0,5.0,7.5,1.125,3.375,4.875,6.625,7.75,0.625,3.0,4.5,5.5,6.25,0.75,2.375,3.375,4.375,5.125,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.14411178445986333,0.026793916063062393,0.02338798364217623,5.855115459550629,5.213827579121992,23.654032321389504,1.625,5.5,7.875,10.625,13.25,2.5,4.75,7.75,9.875,11.375,0.875,3.25,6.125,8.375,10.5,2.375,4.625,6.25,8.25,9.875,2.0,5.375,7.5,13.75,15.875,2.5,4.75,5.75,7.625,9.125,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.5378177336982849,0.23381274723109224,0.1978138595252567,37.567610151493746,20.691567198127828,43.34229464929707,0.5,2.375,3.75,5.125,7.25,0.625,1.75,3.25,4.25,5.125,1.375,2.25,3.125,4.0,5.0,0.5,1.375,3.0,4.25,6.0,1.125,2.875,3.875,6.375,7.875,0.5,1.5,2.75,3.875,4.875,attentive
0.375,0.75,0.875,0.375,0.75,0.875,0.375,0.75,0.875,0.375,0.75,0.875,0.7070244482826632,0.4295332952255941,0.22828987748355636,29.160889067959385,24.66833345946914,58.658696447936926,0.5,1.375,1.75,2.375,3.0,0.375,1.0,2.125,2.75,3.625,0.5,1.625,2.5,3.25,4.5,0.5,1.375,2.0,2.75,3.875,0.5,1.625,2.25,3.0,4.5,0.5,1.375,2.125,3.125,4.0,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.41503392798591876,0.5310454119531346,0.4524352329186402,51.23876257912283,98.23740397852552,53.311079547627834,0.5,1.25,2.125,3.625,4.25,0.5,2.0,2.875,4.125,5.0,0.5,1.5,3.125,3.875,4.875,0.5,1.75,2.5,3.375,4.25,0.625,1.625,2.375,3.25,4.125,0.75,1.625,2.5,3.25,4.125,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.8682964928798277,0.604548628703868,0.6185256646323642,118.11430367691689,151.88084019045678,159.26733971752202,0.625,1.5,2.375,3.25,3.875,0.625,1.375,2.25,3.125,4.0,0.75,1.75,2.625,3.625,4.5,0.5,1.375,2.375,3.75,4.75,0.625,1.625,2.5,3.375,4.125,0.5,1.375,2.375,3.25,4.125,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.29312051017619645,0.16945784096950506,0.30446084237682614,17.18804223136871,34.5948929167605,35.99670968765773,0.875,2.125,3.125,4.625,6.125,1.0,2.125,4.75,5.625,6.5,0.375,1.25,2.125,3.0,3.75,0.875,2.125,3.75,4.75,5.625,0.875,2.375,4.125,5.5,6.5,1.125,2.125,3.25,4.625,5.75,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.25891921572962573,0.23884675044256992,0.12508628812639977,20.299297271945328,22.690224528108338,10.240182054669788,0.625,1.875,3.0,3.875,5.0,1.375,3.25,4.25,5.5,7.125,1.0,2.25,3.25,5.125,6.25,1.5,3.375,4.5,6.25,7.5,1.0,2.125,3.5,5.125,7.5,1.125,2.875,4.125,5.0,6.25,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.13164756661853572,0.1580275158014735,0.15888155478327637,5.187599469554761,13.379067547684572,12.400656003868846,0.875,2.5,4.875,5.875,7.5,1.0,2.625,4.25,6.0,6.75,0.625,2.25,4.75,7.0,8.75,1.125,4.25,7.0,9.25,10.75,1.375,4.25,6.5,8.125,10.625,1.5,4.375,5.875,7.375,8.75,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.23656520900686817,0.2691793852718074,0.22398937247043252,19.753215939490097,28.699407057681036,23.760004781038692,0.5,1.375,2.875,4.25,5.875,0.375,1.25,2.75,3.625,4.375,0.375,1.125,1.875,2.75,4.125,1.5,2.625,3.625,4.5,6.125,0.5,1.5,2.5,3.25,4.25,1.625,2.625,4.125,6.125,7.125,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.10100343820154706,0.14277308883227835,0.1292278259001486,26.09251555446324,8.572267098602149,34.87663802416429,0.5,1.75,4.5,6.875,8.125,0.625,1.625,2.625,4.125,5.25,0.875,2.5,3.5,4.25,5.125,0.75,1.875,3.0,4.5,5.625,0.5,1.25,2.125,3.25,5.125,0.5,1.625,4.125,6.0,6.875,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.3459944091388133,0.1951223256402167,0.07874346813627946,19.433954308343072,13.508773947221894,23.27556293000706,0.5,1.625,2.875,4.375,5.625,1.25,2.875,3.625,6.625,7.625,1.375,3.125,4.875,6.625,8.5,1.0,3.125,4.25,5.625,7.0,0.625,2.0,3.375,4.625,5.5,1.875,3.125,4.375,5.625,7.75,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.05571465144928531,0.27704993510988984,0.17479124414704764,8.215805289086608,13.435696590866986,64.70564275365601,0.75,1.5,2.375,3.25,4.0,0.75,1.625,2.625,3.5,4.5,0.625,1.625,2.0,3.125,4.5,1.5,3.0,5.0,6.0,6.75,0.375,1.375,2.25,4.0,6.25,0.625,1.625,2.75,3.625,5.5,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.07544201861396986,0.1409110395868766,0.18389904585343658,8.417965210463047,5.870781529442416,24.780063761832402,1.0,2.25,4.125,5.5,6.625,0.875,2.25,3.25,4.375,5.625,1.5,3.75,5.0,6.25,8.375,1.0,3.625,5.875,7.5,8.75,1.25,2.75,4.0,5.0,6.25,0.75,2.375,3.875,5.125,6.375,attentive
0.375,0.875,0.75,0.375,0.875,0.75,0.375,0.875,0.75,0.375,0.875,0.75,0.6453515986680749,0.13636654069172577,0.1530276694436724,29.99380290650908,33.583726814943425,63.01766041110743,0.5,1.625,2.375,3.0,3.75,0.25,1.0,1.75,2.5,2.875,0.875,2.0,2.75,3.875,4.875,0.875,1.625,2.375,3.375,4.625,0.625,1.75,2.5,3.375,5.125,0.625,1.375,2.25,4.125,5.25,attentive
0.375,0.5,0.875,0.375,0.5,0.875,0.375,0.5,0.875,0.375,0.5,0.875,0.4133716322846772,0.47592409114585177,0.20567930912825985,31.727362158045718,5.956402763262077,23.10643031814633,0.75,1.5,2.625,3.625,4.875,0.5,1.625,2.5,3.0,4.375,0.625,1.5,2.5,4.25,5.25,0.375,1.5,2.875,3.75,4.375,0.5,1.375,2.125,3.25,4.125,0.5,1.5,2.875,4.75,5.75,attentive
0.375,0.5,0.875,0.375,0.5,0.875,0.375,0.5,0.875,0.375,0.5,0.875,0.3440438994789003,0.31462637731013343,0.34906474677275495,37.73496679286119,25.622890318843776,74.38740286140629,0.75,1.625,2.5,3.125,4.0,0.875,1.625,2.75,3.875,4.5,0.75,3.125,4.25,5.125,6.375,0.75,1.625,2.625,4.0,5.375,0.75,1.625,3.0,3.875,4.875,0.625,1.625,2.75,3.25,4.25,attentive
0.375,0.75,0.875,0.375,0.75,0.875,0.375,0.75,0.875,0.375,0.75,0.875,0.8894461860329599,0.24780324556348507,0.1703568764488089,33.639057000189574,21.69459251037271,68.01661959198391,1.0,2.625,4.125,4.875,5.875,0.375,1.0,1.75,2.625,3.875,0.875,1.75,3.125,4.5,5.25,0.875,1.625,3.0,4.0,4.75,0.5,2.25,3.25,4.125,4.875,0.875,1.75,2.5,3.125,3.75,attentive
0.375,0.625,0.75,0.375,0.625,0.75,0.375,0.75,0.625,0.375,0.75,0.625,0.5555464884469449,0.374501879223812,0.25653069364762204,12.811562085517963,42.508914865235305,46.46896622936743,0.375,1.5,2.5,3.125,3.75,0.25,1.125,1.75,2.625,3.25,0.375,1.25,2.0,3.25,3.875,0.375,1.375,2.25,2.75,3.375,0.375,1.75,2.875,3.625,4.625,0.5,1.375,2.125,2.625,3.25,distracted
0.375,0.5,1.125,0.375,0.5,1.125,0.375,0.5,1.125,0.375,0.5,1.125,0.4063129604484173,0.25323595593638365,0.23628143005485575,34.59231835710743,15.286773497381107,42.961411247661516,0.75,2.5,3.625,4.75,5.875,0.5,1.5,2.5,4.875,6.125,0.75,1.625,3.0,3.75,4.625,0.25,1.5,2.75,3.875,4.875,1.0,2.875,4.125,5.125,6.0,0.625,1.5,2.375,3.25,4.125,attentive
0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.375,0.5,0.625,0.3836767982155704,0.2441506727067764,0.2561859536529232,23.017002193717413,1.4062750260546804,24.762223505843163,0.375,1.25,2.25,3.25,4.25,0.75,1.75,2.75,3.375,4.375,0.625,1.75,3.0,4.625,6.625,0.75,2.875,4.375,6.375,9.125,0.625,1.5,2.75,4.375,5.375,1.5,2.875,4.375,5.375,6.5,attentive
0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.375,0.5,1.0,0.346241937070259,0.08972172640294283,0.07282726800538061,17.145655068801307,15.524871155996976,40.25678208345243,0.375,1.25,2.125,4.0,5.875,0.5,1.625,2.75,3.75,4.375,1.875,3.125,4.0,4.75,6.125,1.625,2.875,4.0,6.0,7.125,0.5,1.25,2.25,4.75,5.75,0.5,1.5,2.75,4.125,5.75,attentive
